 ,Area,Perim.,Circ.,AR,Round,Solidity
1,241,70.184,0.615,2.824,0.354,0.891
2,206,64.184,0.628,1.412,0.708,0.900
3,382,75.012,0.853,1.081,0.925,0.920
4,169,52.284,0.777,2.028,0.493,0.899
5,378,81.598,0.713,2.063,0.485,0.919
6,257,60.770,0.875,1.230,0.813,0.933
7,297,64.184,0.906,1.157,0.864,0.928
8,318,73.012,0.750,1.660,0.602,0.896
9,208,56.627,0.815,1.399,0.715,0.918
10,192,56.770,0.749,1.331,0.751,0.865
11,322,66.770,0.908,1.306,0.766,0.944
12,282,64.870,0.842,1.618,0.618,0.942
13,154,51.941,0.717,1.569,0.637,0.804
14,523,91.497,0.785,1.332,0.751,0.910
15,220,57.941,0.823,1.601,0.624,0.907
16,164,46.042,0.972,1.158,0.864,0.951
17,256,63.941,0.787,1.215,0.823,0.859
18,155,49.698,0.789,1.107,0.903,0.852
19,244,57.456,0.929,1.224,0.817,0.949
20,275,62.284,0.891,1.378,0.725,0.937
21,308,68.527,0.824,1.232,0.812,0.914
22,159,46.042,0.943,1.093,0.915,0.935
23,367,72.770,0.871,1.043,0.959,0.929
24,420,76.426,0.904,1.218,0.821,0.948
25,168,53.698,0.732,1.789,0.559,0.846
26,314,75.941,0.684,1.789,0.559,0.861
27,224,54.527,0.947,1.097,0.912,0.937
28,152,46.627,0.879,1.177,0.850,0.910
29,199,57.456,0.758,1.376,0.727,0.877
30,444,78.426,0.907,1.162,0.861,0.944
31,233,60.184,0.808,1.304,0.767,0.896
32,360,77.255,0.758,1.762,0.567,0.900
33,435,81.012,0.833,1.538,0.650,0.941
34,194,52.870,0.872,1.284,0.779,0.917
35,208,57.355,0.795,1.787,0.560,0.900
36,379,84.426,0.668,1.435,0.697,0.837
37,307,74.527,0.695,1.751,0.571,0.878
38,158,47.113,0.895,1.236,0.809,0.921
39,448,89.598,0.701,1.135,0.881,0.878
40,384,75.598,0.844,1.364,0.733,0.914
41,424,92.912,0.617,1.495,0.669,0.831
42,207,57.598,0.784,1.593,0.628,0.898
43,217,65.012,0.645,1.614,0.619,0.814
44,223,62.770,0.711,1.088,0.919,0.827
45,594,91.740,0.887,1.255,0.797,0.932
46,266,64.184,0.811,1.085,0.921,0.872
47,209,59.213,0.749,1.429,0.700,0.891
48,463,83.255,0.839,1.610,0.621,0.939
49,491,93.355,0.708,1.582,0.632,0.902
50,187,53.113,0.833,1.340,0.746,0.895
51,183,56.870,0.711,1.737,0.576,0.891
52,218,59.113,0.784,1.208,0.828,0.890
53,180,53.456,0.792,1.765,0.567,0.921
54,331,79.255,0.662,1.744,0.573,0.866
55,210,56.184,0.836,1.504,0.665,0.905
56,187,55.456,0.764,1.237,0.809,0.870
57,164,54.042,0.706,1.199,0.834,0.826
58,212,54.184,0.907,1.146,0.873,0.932
59,229,62.184,0.744,2.049,0.488,0.874
60,326,71.598,0.799,1.548,0.646,0.921
61,172,59.213,0.616,2.978,0.336,0.898
62,416,82.184,0.774,1.654,0.605,0.915
63,240,61.355,0.801,1.054,0.949,0.887
64,393,74.912,0.880,1.243,0.804,0.925
65,229,61.941,0.750,1.919,0.521,0.876
66,181,59.113,0.651,1.234,0.810,0.852
67,178,55.456,0.727,2.041,0.490,0.881
68,168,55.698,0.681,2.124,0.471,0.851
69,541,85.841,0.923,1.179,0.849,0.959
70,333,68.426,0.894,1.473,0.679,0.935
71,320,69.841,0.824,1.204,0.831,0.900
72,262,61.941,0.858,1.428,0.700,0.919
73,179,50.870,0.869,1.204,0.830,0.916
74,482,84.669,0.845,1.189,0.841,0.929
75,298,67.497,0.822,1.650,0.606,0.909
76,238,58.870,0.863,1.116,0.896,0.921
77,156,46.627,0.902,1.384,0.723,0.926
78,190,53.698,0.828,1.352,0.740,0.909
79,161,52.284,0.740,1.460,0.685,0.852
80,353,70.669,0.888,1.277,0.783,0.935
81,288,63.113,0.909,1.293,0.774,0.946
82,203,57.213,0.779,1.122,0.891,0.879
83,190,55.598,0.772,1.617,0.618,0.848
84,267,62.527,0.858,1.021,0.980,0.908
85,212,60.527,0.727,2.056,0.486,0.876
86,363,74.184,0.829,1.385,0.722,0.919
87,277,70.426,0.702,1.113,0.899,0.832
88,197,54.770,0.825,1.257,0.796,0.874
89,171,56.184,0.681,1.448,0.690,0.838
90,206,54.527,0.871,1.164,0.859,0.912
91,416,80.426,0.808,1.497,0.668,0.914
92,222,57.941,0.831,1.517,0.659,0.914
93,249,64.284,0.757,1.334,0.749,0.886
94,325,78.912,0.656,2.302,0.434,0.868
95,445,86.770,0.743,1.692,0.591,0.904
96,255,59.941,0.892,1.224,0.817,0.921
97,310,65.113,0.919,1.168,0.856,0.949
98,331,67.598,0.910,1.145,0.873,0.938
99,190,53.113,0.846,1.347,0.742,0.905
100,224,60.770,0.762,1.876,0.533,0.909
101,482,83.255,0.874,1.246,0.803,0.939
102,439,80.083,0.860,1.357,0.737,0.927
