,Unnamed: 0,Image,Manual,Manual2,Auto_th_2,Auto_th_3,Auto_th_4,Date,RealDate
0,Set1,Image1,92.0,93.0,70,87,82,2020-30-01,2020-01-30
1,Set1,Image2,87.0,83.0,60,85,83,2020-30-01,2020-01-30
2,Set1,Image3,104.0,98.0,74,99,94,2020-30-01,2020-01-30
3,Set1,Image4,99.0,,73,101,109,2020-30-01,2020-01-30
4,Set1,Image5,89.0,,59,90,67,2020-30-01,2020-01-30
5,Set1,Image6,115.0,,82,124,105,2020-30-01,2020-01-30
6,Set1,Image7,102.0,,68,103,93,2020-30-01,2020-01-30
7,Set1,Image8,117.0,,77,122,88,2020-30-01,2020-01-30
8,Set1,Image9,104.0,,88,99,112,2020-30-01,2020-01-30
9,Set1,Image10,103.0,,69,98,94,2020-30-01,2020-01-30
10,Set1,Image11,91.0,,61,87,77,2020-30-01,2020-01-30
11,Set1,Image12,119.0,,79,105,111,2020-30-01,2020-01-30
12,Set1,Image13,,,65,90,84,2020-30-01,2020-01-30
13,Set1,Image14,117.0,,94,115,105,2020-30-01,2020-01-30
14,Set1,Image15,91.0,,66,99,70,2020-30-01,2020-01-30
15,Set1,Image16,84.0,,55,76,64,2020-30-01,2020-01-30
16,Set1,Image17,105.0,,85,91,101,2020-30-01,2020-01-30
17,Set1,Image18,112.0,,73,104,96,2020-30-01,2020-01-30
18,Set1,Image19,87.0,,60,83,93,2020-30-01,2020-01-30
19,Set1,Image20,100.0,,76,87,81,2020-30-01,2020-01-30
20,Set1,Image21,89.0,,65,94,86,2020-30-01,2020-01-30
21,Set1,Image22,88.0,,66,96,83,2020-30-01,2020-01-30
22,Set1,Image23,106.0,,71,112,105,2020-30-01,2020-01-30
23,Set1,Image24,107.0,,92,91,111,2020-30-01,2020-01-30
24,Set1,Image25,108.0,,93,113,115,2020-30-01,2020-01-30
25,Set2,Image26,102.0,,85,103,105,2020-30-01,2020-01-30
26,Set2,Image27,93.0,,76,84,98,2020-30-01,2020-01-30
27,Set2,Image28,83.0,,62,71,87,2020-30-01,2020-01-30
28,Set2,Image29,110.0,,92,117,85,2020-30-01,2020-01-30
29,Set2,Image30,89.0,,70,96,81,2020-30-01,2020-01-30
30,Set2,Image31,115.0,,77,113,119,2020-30-01,2020-01-30
31,Set2,Image32,120.0,,94,115,94,2020-30-01,2020-01-30
